Rndrng_NPI,T1_Extreme_PaymentPerBene,T2_Audio_Only_Heavy,T3_Single_HCPCS_Dominant,T4_Rural_HighVolume,T5_Pandemic_Emergence,Total_Typology_Hits
1689263147,0,0,1,0,1,2
1023539053,0,0,1,0,1,2
1659828762,0,0,1,0,1,2
1548632771,0,0,1,0,1,2
1285749705,0,0,0,0,1,1
1124678263,0,0,1,0,1,2
1518471648,0,0,1,0,1,2
1295387686,0,0,1,0,1,2
1376926063,1,0,0,0,1,2
1417118639,0,0,0,0,1,1
1467501858,0,0,1,0,1,2
1447239561,1,0,0,0,1,2
1376521773,0,0,0,0,1,1
1902570211,0,0,1,0,1,2
1689081812,0,0,0,0,1,1
1821737917,0,0,1,0,1,2
1134107022,1,0,0,0,1,2
1609864446,0,0,0,0,1,1
1346427861,0,0,0,0,1,1
1285749952,0,0,0,0,1,1
1891953063,0,0,0,0,1,1
1063583326,1,0,0,0,1,2
1578557286,0,0,1,0,1,2
1689603102,1,0,0,0,1,2
1619924396,0,0,0,0,1,1
1396141230,1,1,1,0,1,4
1598780694,1,0,0,0,1,2
1619129426,0,0,0,0,1,1
1609857788,0,0,0,0,1,1
1891998159,1,0,0,0,1,2
1629171202,0,0,0,0,1,1
1720022486,0,0,0,0,1,1
1275582132,1,0,0,0,1,2
1699973545,0,0,1,0,1,2
1437348182,0,0,0,0,1,1
1255376679,1,0,0,0,1,2
1508086109,0,0,0,0,1,1
1104054295,0,0,0,0,1,1
1366415804,1,0,0,0,0,1
1578514477,0,0,0,0,0,0
1598953564,0,0,0,0,1,1
1952597478,1,0,0,0,1,2
1700871969,0,0,0,0,0,0
1912272196,0,0,0,0,1,1
1033117437,0,0,0,0,1,1
1497710750,0,0,0,0,1,1
1558354399,0,0,0,0,1,1
1952515264,1,0,0,0,1,2
1710919931,1,0,0,0,1,2
1417994013,1,0,0,0,1,2
1285627703,1,0,0,0,1,2
1528140639,1,0,0,0,1,2
1174587224,0,0,0,0,1,1
1891782512,1,0,0,0,1,2
1063491777,1,0,0,0,1,2
1225039183,0,0,0,0,1,1
1174558753,1,0,0,0,1,2
1184622417,0,0,0,0,1,1
1578578365,0,0,0,0,1,1
1235584962,0,0,0,0,1,1
1962573121,1,0,0,0,1,2
1760651210,0,0,0,0,1,1
1851486138,0,0,0,0,1,1
1063402857,0,0,0,0,1,1
1679590491,1,0,0,0,1,2
1902878044,0,0,0,0,1,1
1649224387,0,0,0,0,1,1
1740463322,0,0,0,0,1,1
1659349512,0,0,0,0,1,1
1528378072,0,0,0,0,1,1
1598738015,1,0,0,0,1,2
1417963661,0,1,0,0,1,2
1497709653,0,1,0,0,1,2
1922003037,0,0,0,0,1,1
